NUGC2	NUGC-2	50423	
NUGC3	NUGC-3	50424	
NUGC4	NUGC-4	50425	
NY	NY	50426	
OAW28	OAW28	50427	
OAW42	OAW42	50428	
OCUG1	OCUG-1	50429	
OCUM1	OCUM-1	50430	
OE19	OE19	50431	
OE21	OE21	50432	
OE33	OE33	50433	
OSC19	OSC-19	50434	
OSC20	OSC-20	50435	
OUMS23	OUMS-23	50436	
OV90	OV-90	50437	
OVISE	OVISE	50438	
OVKATE	OVKATE	50439	
OVMIU	OVMIU	50440	
OVSAYO	OVSAYO	50441	
OVTOKO	OVTOKO	50442	
PA1	PA-1	50443	
PANC0203	Panc 02.03	50444	
PANC0327	Panc 03.27	50445	
PANC0403	Panc 04.03	50446	
PANC0813	Panc 08.13	50447	
PANC1	PANC-1	50449	
PANC1005	Panc 10.05	50448	
PATU8902	PA-TU-8902	50450	
PATU8988S	PA-TU-8988S	50451	
PATU8988T	PA-TU-8988T	50452	
PC14	PC-14	50453	
PC3JPC3	PC-3 [JPC-3]	50454	PC3
PC9	PC-9	50038	
PECAPJ15	PE/CA-PJ15	50039	
PFSK1	PFSK-1	50455	
PL4	PL4	50040	
PL45	PL45	50456	
PLCPRF5	PLC/PRF/5	50457	
QGP1	QGP-1	50458	
RCM1	RCM-1	50459	
RD	RD	50460	
RDES	RD-ES	50461	
RERFGC1B	RERF-GC-1B	50462	
RERFLCAD1	RERF-LC-Ad1	50463	
RERFLCKJ	RERF-LC-KJ	50464	
RERFLCMA	RERF-LC-MA	50465	
RERFLCSQ1	RERF-LC-Sq1	50466	
RKN	RKN	50467	
RMGI	RMG-I	50468	
RO82W1	RO82-W-1	50469	
RPMI2650	RPMI 2650	50470	
RPMI7951	RPMI-7951	50471	
RT112	RT-112	50472	
RT11284	RT112/84	50473	
RT4	RT4	50474	
RVH421	RVH-421	50475	
S117	S-117	50476	
SAOS2	Saos-2	50477	
SAS	SAS	50478	
SAT	SAT	50479	
SBC3	SBC-3	50480	
SBC5	SBC-5	50481	
SCABER	SCaBER	50482	
SCC15	SCC-15	50483	
SCC25	SCC-25	50484	
SCC4	SCC-4	50485	
SCC9	SCC-9	50486	
SCCH196	SCCH-196	50487	
SCCH26	SCCH-26	50488	
SCH	SCH	50489	
SCLC21H	SCLC-21H	50490	
SHP77	SHP-77	50491	
SHSY5Y	SH-SY5Y	50492	
SIHA	SiHa	50493	
SISO	SISO	50494	
SJCRH30	SJCRH30	50041	RC13;RMS13;SJRH30
SKBR3	SK-BR-3	50057	
SKCO1	SK-CO-1	50495	
SKES1	SK-ES-1	50496	
SKGIIIA	SKG-IIIa	50497	
SKGIIIB	SKG-IIIb	50498	
SKHEP1	SK-HEP-1	50499	
SKLMS1	SK-LMS-1	50042	
SKLU1	SK-LU-1	50500	
SKMEL2	SK-MEL-2	50501	
SKMEL30	SK-MEL-30	50502	
SKMES	SK-MES	50043	SKMES1
SKN	SKN	50503	
SKN3	SKN-3	50504	
SKNAS	SK-N-AS	50505	
SKNDZ	SK-N-DZ	50506	
SKNEP1	SK-NEP-1	50507	
SKNSH	SK-N-SH	50508	
SKOV3	SK-OV-3	50044	
SNB75	SNB75	50045	
SNGM	SNG-M	50509	
SNU1	SNU-1	50510	
SNU16	SNU-16	50511	
SNU182	SNU-182	50512	
SNU387	SNU-387	50513	
SNU398	SNU-398	50514	
SNU423	SNU-423	50515	
SNU449	SNU-449	50516	
SNU475	SNU-475	50517	
SNU5	SNU-5	50518	
STC1	STC 1	50519	
SU8686	SU.86.86	50520	
SUIT2	SUIT-2	50521	
SW1088	SW 1088	50522	
SW1116	SW 1116	50523	
SW1271	SW 1271	50524	
SW13	SW 13	50525	
SW1417	SW 1417	50526	
SW1463	SW 1463	50527	
SW156	SW 156	50528	
SW1573	SW 1573	50529	
SW1710	SW-1710	50535	
SW1783	SW 1783	50530	
SW48	SW 48	50531	
SW527	SW527	50046	
SW620	SW620	50047	
SW626	SW 626	50532	
SW756	SW756	50536	
SW780	SW 780	50533	
SW837	SW837	50537	
SW900	SW 900	50534	
SW948	SW-948	50538	
T24	T24	50048	
T47D	T47D	50541	
T84	T84	50542	
T98G	T98G	50543	
TASK1	TASK1	50544	
TCCSUP	TCCSUP	50545	
TGW	TGW	50546	
TOV112D	TOV-112D	50547	
TOV21G	TOV-21G	50548	
TT	T.T	50539	
TT2609C02	TT2609-C02	50549	
TTN	T.Tn	50540	
TYKNU	TYK-nu	50550	
U118MG	U-118 MG	50551	
U138MG	U-138 MG	50552	
U251MG	U-251 MG	50554	
U2OS	U-2 OS	50553	
U373MG	U373 MG	50555	
UACC812	UACC-812	50556	
UACC893	UACC-893	50557	
UMC11	UMC-11	50558	
UMUC3	UM-UC-3	50559	
VCAP	VCaP	50560	
VMCUB1	VM-CUB1	50561	
VMRCLCP	VMRC-LCP	50562	
VMRCMELG	VMRC-MELG	50563	
VMRCRCW	VMRC-RCW	50564	
VMRCRCZ	VMRC-RCZ	50565	
WIDR	WiDr	50049	
WM115	WM-115	50567	
WM1552C	WM1552C	50568	
WM2664	WM 266-4	50566	
WM278	WM278	50569	
WM35	WM35	50570	
WM793B	WM793B	50571	
YAPC	YAPC	50572	
YKG1	YKG-1	50573	
ZR751	ZR-75-1	50574	
ZR7530	ZR-75-30	50575	
