cell line	type	target	basal level
HCC38	TNBC	VEGFR1	-3.8388
HCC70	TNBC	VEGFR1	NaN
Hs 578T	TNBC	VEGFR1	NaN
MCF 10A	TNBC	VEGFR1	NaN
MCF 10F	TNBC	VEGFR1	NaN
MCF-12A	TNBC	VEGFR1	NaN
MCF7	HR+	VEGFR1	NaN
MDA-MB-134-VI	HR+	VEGFR1	NaN
MDA-MB-157	TNBC	VEGFR1	-3.0788
MDA-MB-175-VII	HR+	VEGFR1	NaN
MDA-MB-231	TNBC	VEGFR1	NaN
MDA-MB-361	HER2amp	VEGFR1	NaN
MDA-MB-415	HR+	VEGFR1	-3.1892
MDA-MB-436	TNBC	VEGFR1	-3.3623
MDA-MB-453	TNBC	VEGFR1	-3.319
MDA-MB-468	TNBC	VEGFR1	-3.5904
SK-BR-3	HER2amp	VEGFR1	-3.4051
T47D	HR+	VEGFR1	-3.6569
UACC-812	HER2amp	VEGFR1	NaN
UACC-893	HER2amp	VEGFR1	-2.682
ZR-75-1	HR+	VEGFR1	NaN
ZR-75-30	HER2amp	VEGFR1	NaN
184B5	TNBC	VEGFR2	-2.973
AU-565	HER2amp	VEGFR2	NaN
BT-20	TNBC	VEGFR2	NaN
BT-474	HER2amp	VEGFR2	NaN
BT-483	HR+	VEGFR2	NaN
BT-549	TNBC	VEGFR2	NaN
CAMA-1	HR+	VEGFR2	NaN
HCC1187	TNBC	VEGFR2	-2.7307
HCC1395	TNBC	VEGFR2	NaN
HCC1419	HER2amp	VEGFR2	NaN
HCC1428	HR+	VEGFR2	NaN
HCC1500	HR+	VEGFR2	NaN
HCC1569	HER2amp	VEGFR2	NaN
HCC1806	TNBC	VEGFR2	NaN
HCC1937	TNBC	VEGFR2	NaN
HCC1954	HER2amp	VEGFR2	NaN
HCC202	HER2amp	VEGFR2	NaN
HCC38	TNBC	VEGFR2	NaN
HCC70	TNBC	VEGFR2	NaN
Hs 578T	TNBC	VEGFR2	NaN
MCF 10A	TNBC	VEGFR2	NaN
MCF 10F	TNBC	VEGFR2	NaN
MCF-12A	TNBC	VEGFR2	NaN
MCF7	HR+	VEGFR2	NaN
MDA-MB-134-VI	HR+	VEGFR2	NaN
MDA-MB-157	TNBC	VEGFR2	NaN
MDA-MB-175-VII	HR+	VEGFR2	NaN
MDA-MB-231	TNBC	VEGFR2	NaN
MDA-MB-361	HER2amp	VEGFR2	NaN
MDA-MB-415	HR+	VEGFR2	NaN
MDA-MB-436	TNBC	VEGFR2	NaN
MDA-MB-453	TNBC	VEGFR2	NaN
MDA-MB-468	TNBC	VEGFR2	-3.3882
SK-BR-3	HER2amp	VEGFR2	NaN
T47D	HR+	VEGFR2	NaN
UACC-812	HER2amp	VEGFR2	NaN
UACC-893	HER2amp	VEGFR2	NaN
ZR-75-1	HR+	VEGFR2	NaN
ZR-75-30	HER2amp	VEGFR2	NaN
184B5	TNBC	VEGFR3	NaN
AU-565	HER2amp	VEGFR3	NaN
BT-20	TNBC	VEGFR3	NaN
BT-474	HER2amp	VEGFR3	NaN
BT-483	HR+	VEGFR3	NaN
BT-549	TNBC	VEGFR3	NaN
CAMA-1	HR+	VEGFR3	NaN
HCC1187	TNBC	VEGFR3	NaN
HCC1395	TNBC	VEGFR3	NaN
HCC1419	HER2amp	VEGFR3	NaN
HCC1428	HR+	VEGFR3	NaN
HCC1500	HR+	VEGFR3	NaN
HCC1569	HER2amp	VEGFR3	NaN
HCC1806	TNBC	VEGFR3	NaN
HCC1937	TNBC	VEGFR3	NaN
HCC1954	HER2amp	VEGFR3	NaN
HCC202	HER2amp	VEGFR3	NaN
HCC38	TNBC	VEGFR3	NaN
HCC70	TNBC	VEGFR3	NaN
Hs 578T	TNBC	VEGFR3	NaN
MCF 10A	TNBC	VEGFR3	NaN
MCF 10F	TNBC	VEGFR3	NaN
MCF-12A	TNBC	VEGFR3	NaN
MCF7	HR+	VEGFR3	NaN
MDA-MB-134-VI	HR+	VEGFR3	NaN
MDA-MB-157	TNBC	VEGFR3	NaN
MDA-MB-175-VII	HR+	VEGFR3	NaN
MDA-MB-231	TNBC	VEGFR3	NaN
MDA-MB-361	HER2amp	VEGFR3	NaN
MDA-MB-415	HR+	VEGFR3	NaN
MDA-MB-436	TNBC	VEGFR3	NaN
MDA-MB-453	TNBC	VEGFR3	NaN
MDA-MB-468	TNBC	VEGFR3	NaN
SK-BR-3	HER2amp	VEGFR3	NaN
T47D	HR+	VEGFR3	NaN
UACC-812	HER2amp	VEGFR3	NaN
UACC-893	HER2amp	VEGFR3	NaN
ZR-75-1	HR+	VEGFR3	NaN
ZR-75-30	HER2amp	VEGFR3	NaN
184B5	TNBC	PDGFRa	-3.4675
AU-565	HER2amp	PDGFRa	NaN
BT-20	TNBC	PDGFRa	NaN
BT-474	HER2amp	PDGFRa	NaN
BT-483	HR+	PDGFRa	NaN
BT-549	TNBC	PDGFRa	-3.3035
CAMA-1	HR+	PDGFRa	NaN
HCC1187	TNBC	PDGFRa	-3.4058
HCC1395	TNBC	PDGFRa	-3.0978
HCC1419	HER2amp	PDGFRa	NaN
HCC1428	HR+	PDGFRa	NaN
HCC1500	HR+	PDGFRa	NaN
HCC1569	HER2amp	PDGFRa	NaN
HCC1806	TNBC	PDGFRa	NaN
HCC1937	TNBC	PDGFRa	NaN
HCC1954	HER2amp	PDGFRa	NaN
HCC202	HER2amp	PDGFRa	NaN
HCC38	TNBC	PDGFRa	NaN
HCC70	TNBC	PDGFRa	-3.2926
Hs 578T	TNBC	PDGFRa	-1.4831
MCF 10A	TNBC	PDGFRa	NaN
MCF 10F	TNBC	PDGFRa	NaN
MCF-12A	TNBC	PDGFRa	NaN
MCF7	HR+	PDGFRa	NaN
MDA-MB-134-VI	HR+	PDGFRa	NaN
MDA-MB-157	TNBC	PDGFRa	-3.4946
MDA-MB-175-VII	HR+	PDGFRa	NaN
MDA-MB-231	TNBC	PDGFRa	NaN
MDA-MB-361	HER2amp	PDGFRa	NaN
MDA-MB-415	HR+	PDGFRa	NaN
MDA-MB-436	TNBC	PDGFRa	NaN
MDA-MB-453	TNBC	PDGFRa	NaN
MDA-MB-468	TNBC	PDGFRa	NaN
SK-BR-3	HER2amp	PDGFRa	NaN
T47D	HR+	PDGFRa	NaN
UACC-812	HER2amp	PDGFRa	NaN
UACC-893	HER2amp	PDGFRa	NaN
ZR-75-1	HR+	PDGFRa	NaN
ZR-75-30	HER2amp	PDGFRa	-3.2186
184B5	TNBC	PDGFRb	NaN
AU-565	HER2amp	PDGFRb	NaN
BT-20	TNBC	PDGFRb	NaN
BT-474	HER2amp	PDGFRb	NaN
BT-483	HR+	PDGFRb	NaN
BT-549	TNBC	PDGFRb	-3.8235
CAMA-1	HR+	PDGFRb	-3.8679
HCC1187	TNBC	PDGFRb	-3.539
HCC1395	TNBC	PDGFRb	NaN
HCC1419	HER2amp	PDGFRb	-3.4797
HCC1428	HR+	PDGFRb	-3.575
